,x
1,MAP2
2,IL8
3,FGR
4,PTX3
5,MMP14
6,GLRA2
7,PLIN2
8,TPRA1
9,NA
10,GPR68
11,ATF5
12,CHRNA4
13,NINJ1
14,MAMLD1
15,ANKRD34C
16,previous version conserved probe
17,NRIP3
18,HRASLS
19,SLC12A8
20,DSC3
21,AMZ1
22,MSC
23,METTL1
24,DNAJC6
25,OLIG1
26,MYO10
27,F3
28,SPHK1
29,SQLE
30,CCL20
31,TJP2
32,GEM
33,LHFPL2
34,IL1RN
35,PHLDA1
36,SDC1
37,KLF10
38,AMPD3
39,FAM126A
40,CXCL3
41,CXCL5
42,PITX2
43,SLAMF9
44,DEFB127
45,TKTL1
46,AQP9
47,B4GALT5
48,IL1B
49,ZNF483
50,TNFSF14
51,VIT
52,SEMA6B
53,MMP9
54,MMP19
55,USP11
56,SEMA3C
57,SPRED2
58,OLIG2
59,UBTD2
60,SQSTM1
61,MAOA
62,SIX6
63,MCM10
64,BCL2A1
65,HEY1
66,HMGB4
67,GPR35
68,SLC2A6
69,HIST1H3B
70,HHLA2
71,LPAR3
72,PLEKHH1
73,SLC39A8
74,C3
75,ZNF556
76,ZNF436
77,PAPPA2
78,ZSWIM4
79,CCL2
80,MERTK
81,GPR84
82,GJB2
83,HMCN1
84,CDC42EP3
85,C10orf120
86,TMEM163
87,PPIF
88,TMEM138
89,MACROD2-AS1
90,TPST1
91,IRAK2
92,G0S2
93,ARNTL2
94,LAMB3
95,SLAMF8
96,P2RX7
97,SLC43A3
98,GPCPD1
99,SGPP2
100,NRP1
101,TNFRSF9
102,DMXL2
103,TDP2
104,AGAP3
105,SC5DL
106,DFNA5
107,LOC283050
108,MYOF
109,RAI14
110,DLL1
111,ATP13A3
112,ZC3H12C
113,FNIP2
114,CCM2L
115,SOD2
116,ICAM1
117,PPARG
118,PDE4DIP|LOC101060353|LOC101060456|LOC100996723|LOC100996761
119,TNFAIP6
120,COL15A1
121,IL24
122,TMEM38B
123,SERPINE1
124,MET
125,GLB1L3
126,DNAH17
127,CDK18
128,PSG9|PSG6
129,ACSL1
130,PLXNA1
131,MEP1A
132,ARRDC4
133,SLC7A11
134,TNS3
135,DAB2
136,DDX3Y
137,SACS
138,SLC11A1
139,PCDHB16
140,INSIG1
141,CCRL2
142,CXCL1
143,WIPI1
144,MTHFD1L
145,ADORA2B
146,CLDN23
147,SDC4
148,PEX11G
149,CTSL1
150,PPAP2B
151,BCAT1
152,OLR1
153,KCNN4
154,INHBA
155,HS3ST1
156,LONRF3
157,TTLL4
158,KMO
159,LOC100506115
160,ARL4A
161,PAPLN
162,RELB
163,GRINA
164,SLC1A3
165,MGST1
166,TM4SF19|TM4SF19-TCTEX1D2
167,DKFZp686O1327
168,SOAT1
169,PPP1R3B
170,PDPN
171,FMNL2
172,SYT10
173,MKI67IP
174,SH3PXD2B
175,JAKMIP2
176,PROCR
177,ARL15
178,GAGE1
179,RNF180
180,C17orf104
181,LINC00189
182,MT2A
183,CCL4L1|LOC101060278|CCL4L2|CCL4
184,ZNF727|ZNF736
185,TBC1D2
186,KIAA1598
187,SOWAHC
188,MIPOL1
189,FFAR2
190,C15orf56
191,PNMA1
192,RFX8
193,CCL7
194,IL4I1
195,AK4
196,DYRK3
197,TECRL
198,NRP2
199,KYNU
200,OR52N1
201,TFPI
202,BACH1
203,NF2
204,CCL3|LOC101060267
205,PPP1R3A
206,BEST1
207,DCHS2
208,FAM13C
209,ANKRD18DP
210,RFPL3
211,RPE65
212,STC2
213,LINC00661
214,SLC22A10
215,IRAK3
216,GJA3
217,ADGB
218,CD109
219,NDST3
220,ADAM9
221,SLC16A6
222,XG
223,NCR3LG1
224,PCDHAC2|PCDHA1|PCDHA10|PCDHA9|PCDHA2|PCDHA3|PCDHA4|PCDHA5|PCDHA7|PCDHA8|PCDHA11|PCDHA13|PCDHAC1|PCDHA6|PCDHA12
225,HCAR2|HCAR3
226,NFYC
227,SRC
228,RBM47
229,EPB41L5
230,ST20|BCL2A1
231,CCL4|LOC101060278|CCL4L1|CCL4L2
232,HCAR3|HCAR2
233,LOC101059921
234,LOC100507855
